name,Mean_change_rate,Clusters
Track_3,-0.05369596978972974,0
Track_8,0.6674224893067773,0
Track_10,0.36933073329321503,0
Track_11,-0.7851400149873714,0
Track_20,-0.9860803837529338,0
Track_28,-0.4729004003798002,0
Track_35,-0.5085027439583133,0
Track_42,0.006418276711751657,0
Track_43,-0.1554540593388736,0
Track_47,-0.9464808125248914,0
Track_51,0.6343355630813677,0
Track_53,-0.8812928775350531,0
Track_67,-0.7349080343562348,0
Track_75,0.03301285201954095,0
Track_77,-0.48653284053488444,0
Track_98,-0.10894827237655548,0
Track_106,0.21670230243557975,0
Track_109,-0.48498087384034244,0
Track_118,-1.4342556201810401,0
Track_135,-0.17115635269364787,0
Track_140,-0.5207286525633118,0
Track_155,-0.12530305768224825,0
Track_158,-0.07585838700417803,0
Track_210,0.08474507485780017,0
Track_304,0.05440856520049066,0
Track_352,0.3124524256770911,0
Track_446,-0.7244701930519165,0
Track_476,-0.18616041731663577,0
Track_482,-0.3524170960039425,0
Track_557,-0.9630328349668198,0
Track_630,-0.7882607540525957,0
Track_657,0.22230074820339984,0
Track_730,-0.4787727302287915,0
Track_734,-0.7344791410857618,0
Track_781,-0.3831294678709005,0
Track_897,-0.622666294669877,0
Track_907,-0.4530873292129762,0
Track_1020,-0.36420942137378304,0
Track_1066,-0.16859152255782411,0
Track_1088,-0.6131421135285459,0
Track_1221,0.48070317291252274,0
Track_1328,-0.8703121132314344,0
Track_1544,-0.5426079928840227,0
Track_1962,-0.46177069287287803,0
Track_2060,-0.486841333979332,0
Track_2168,0.8659127977031836,0
Track_2236,0.0006270313721737893,0
Track_2241,-0.10579071354759885,0
Track_2248,-0.04340272360094467,0
Track_2304,-0.44900643366403736,0
Track_2375,0.23747194511752606,0
Track_2377,0.8457071769701119,0
Track_2623,-0.7961779990364256,0
Track_2653,0.28086532605469383,0
Track_2682,0.643721492280094,0
Track_2751,0.6756378269590789,0
Track_2812,0.15270041825179298,0
Track_2924,0.39877650076013504,0
Track_3057,-0.07870154579420202,0
Track_3222,0.31321561392505665,0
Track_3224,-0.7858480128433616,0
Track_3417,0.275457052954226,0
Track_3679,0.21357219354077156,0
Track_3711,0.7132326231621191,0
Track_3745,0.7156933202648308,0
Track_3803,-0.4317448626301173,0
Track_3863,-0.10322437191963005,0
Track_3866,0.47223354814108,0
Track_3942,0.03596687344737682,0
Track_3965,0.808788207881679,0
Track_4076,0.8467571621341528,0
Track_4095,0.6533940268762071,0
Track_4097,0.42295670805676666,0
Track_4160,0.6498290258897726,0
Track_4207,0.20573904267459564,0
Track_4243,-0.008822879411287178,0
Track_4272,0.14738016963183603,0
Track_4394,-0.0006270313721746377,0
Track_4396,0.8638750428332768,0
Track_4397,0.5593705031441614,0
Track_4467,0.4443958705253619,0
Track_4487,0.2884578539037665,0
Track_4492,0.05443584897555587,0
Track_4518,0.8462603260073955,0
Track_4646,0.20664271239464235,0
Track_4654,0.431549901703696,0
Track_4655,0.6763478821980761,0
Track_4657,0.5928609758541504,0
Track_4742,0.9382353216423185,0
Track_4795,0.8021768546347471,0
Track_4836,0.8754700579365858,0
Track_4872,0.7723278412155996,0
Track_4935,0.64913099911185,0
Track_5009,-0.3061708057166327,0
Track_5048,0.5758359957123166,0
Track_5117,0.3445126541111747,0
Track_5121,1.0131095384193682,0
Track_5148,0.6833850587099103,0
Track_5170,0.8670417667822953,0
Track_5229,0.6801719922852879,0
Track_5241,0.8184050675911269,0
Track_5253,0.49053425031984393,0
Track_5295,0.7275142812397832,0
Track_5305,0.9672395978505575,0
Track_5425,0.6179916624277179,0
Track_5436,0.11573547418991276,0
Track_5469,0.3218301468594743,0
Track_6,-0.35867459196093243,1
Track_7,-0.38954821274458695,1
Track_60,-0.8033881101558001,1
Track_72,-1.502291816006392,1
Track_90,-1.1658650142411824,1
Track_423,-0.8277252612474697,1
Track_445,-1.4387562599175527,1
Track_712,-0.8662722006652147,1
Track_771,-1.2009617587911943,1
Track_902,-1.165517267785907,1
Track_938,-1.2973869634884796,1
Track_975,-1.1523246759142964,1
Track_1629,-0.30651727799182493,1
Track_2031,-0.10094783566062036,1
Track_2043,-1.9450858461608203,1
Track_2220,-0.6725256343735802,1
Track_2453,-1.1318491488001396,1
