,Euclidean_distance,DTW_distance
Track_36,267.09477673380195,216.7420778256754
Track_27,62.46776904147469,68.6514252199251
Track_44,131.04593049146993,87.85442388854882
Track_538,42.05702611454171,37.68481975474875
Track_72,263.0636481111039,282.7262834330331
Track_79,392.726907168235,216.325441652428
Track_73,621.0919515321049,591.1758560026356
Track_981,45.689640362872574,43.3601286770919
Track_498,45.614634033582284,39.50740474326494
Track_37,149.77399084340104,170.1308397437792
Track_889,36.84329294340933,38.857498565601986
Track_907,149.15432826128787,102.18501811470443
Track_984,51.957209054083734,61.594454860871124
Track_33,259.191833269547,319.5859802030335
Track_505,215.82326104656872,232.9305973551473
Track_576,120.15017977880456,113.49231218430074
Track_1324,134.23272019505757,148.01624834189283
Track_55,112.919894905665,163.06649245384617
Track_1187,55.670356673973245,71.25873231146363
Track_58,234.51603096046912,159.27822450299365
Track_52,233.72414303002597,142.96984264365807
Track_75,245.10228392158302,206.19477498850884
Track_218,375.59513169383047,191.79024542106146
Track_359,128.70008620040207,144.62363229064812
Track_30,45.704848251088286,41.960561905806735
Track_80,444.90441128324034,385.72773333993933
Track_126,115.13088143253965,115.42230466045638
Track_965,47.99366536890076,42.44925732433444
Track_50,99.8520003049377,79.03539313533886
Track_755,334.84498497903945,182.33882752418748
Track_487,77.68681503677354,100.95523840082852
Track_0,193.11983465040896,155.7204808443695
Track_9,70.24059196480754,57.45864274676165
Track_148,167.19999963247315,147.25838762745207
Track_29,84.6552749362502,52.488630159837484
Track_1019,156.68455998593876,89.9929985553078
Track_82,209.56930907552766,197.30410089138505
Track_38,559.9251335362542,392.5043970642958
Track_7,37.14897399281432,43.644922970195985
Track_357,46.910000307788884,54.01650970173619
Track_301,281.8016106794935,256.8550198806674
Track_625,140.7996681056274,114.01467083058554
Track_193,184.69667613171308,126.91551675954904
Track_24,536.3585710468801,596.2940080656907
Track_226,115.83065258207688,106.23563466712388
Track_53,820.5475213750877,625.6680862531805
Track_10,110.5371053881548,77.9472312215424
Track_731,64.39085659880115,68.87806919338547
Track_88,654.1313210565719,872.1998135531742
Track_67,454.59631744458824,294.88458662595195
Track_880,74.45961659729983,65.20587252484073
Track_78,468.8185926288036,452.0207452294364
Track_42,313.01494019893863,183.4424586199301
Track_1327,90.59424576847543,45.6415245157315
Track_35,573.7032745460892,880.471596588165
Track_906,112.54703482567588,117.21750485013703
Track_957,130.59176228127606,153.03809976802472
Track_85,49.89183385130496,51.5085560961671
Track_66,55.65898393800926,53.42698428189865
Track_51,284.05209390861097,405.0410300411197
Track_71,302.6427444141131,298.56539302399165
Track_57,45.46566824948038,47.80149336691727
Track_28,86.86051113417096,88.45146636848067
Track_49,41.226716187950814,42.910961250343114
Track_290,667.0095992377215,494.6746809216352
Track_761,62.698992213640295,54.29961597077041
Track_2,253.18449764899967,252.16503850811316
Track_261,140.54926111931837,115.38403839257641
Track_161,41.121338316085016,47.38244794241511
Track_47,504.53717540239796,525.1357492004213
Track_74,59.39991625130774,70.66725966897374
Track_15,97.49552278032259,74.97245958197217
Track_76,92.95307956925436,132.25118538238223
Track_217,1041.610865633471,1255.7630930377074
Track_63,167.70528382223196,117.48786990473776
Track_275,306.7344024302671,339.700577398214
Track_872,81.62426488882318,54.92327184688805
Track_1355,43.201109922926044,41.638033582167
Track_229,130.14932379195469,90.75599491054972
